bArea_code,sItem_code
PP05,1E1
PP02,1E3
FI08,16R
MM02,18J
MM03,18J
MM06,19C
MM06,19E
SD01,1B6
PP01,1BM
PP04,1BM
SD01,1BS
FI08,1EG
SD01,1EZ
SD01,1F1
HR01,1FD
DB01,1FD
SC02,1FM
PP05,1FM
SC05,1G0
FI01,1GA
FI01,1GB
FI01,1GF
FI01,1GI
FI01,1GO
FI04,1HB
DB01,1I9
SD01,1IQ
SD01,1IU
FI01,1J2
FI02,1J2
MM04,1JI
SC01,1JW
FI01,1K2
IT01,1LQ
SD01,1MI
FI08,1MN
SC02,1MP
PP05,1MP
SC02,1MR
PP05,1MR
FI06,1MV
AP01,1NJ
AP01,1NN
RD02,1NR
SD01,1O0
RD03,1QA
RD03,1QC
RD03,1QG
FI03,1QM
MM03,1QR
RD02,1R3
RD02,1R5
FI06,1S0
FI06,1S2
FI02,1SG
FI05,1W8
FI05,1WA
FI05,1WC
FI05,1WE
MM05,1XF
MM01,1XI
MM05,1XV
PP04,1Y2
PP01,1Y5
PP01,1YT
RD02,1YT
PP04,1YT
SD01,1Z1
SD01,1Z3
RD03,1ZI
FI01,1ZT
PP01,20N
PP01,21D
RD02,21D
PP04,21D
FI02,21P
FI07,21P
FI02,21Q
FI07,21Q
FI02,21R
FI07,21R
MM02,22K
RD02,22P
RD03,22R
RD02,22T
MM02,22Z
MM03,22Z
FI05,24F
FI05,24H
FI05,24J
FI02,287
FI02,28B
PP02,2EM
SD01,2EQ
SD01,2ET
SC02,2F9
PP05,2F9
SC02,2FA
PP05,2FA
FI01,2FD
FI01,2FM
FI04,2FM
RD03,2G4
RD03,2G5
RD03,2G6
FI04,2I3
FI06,2JB
PP01,2JN
SC02,2LG
MM02,2LG
MM03,2LG
FI06,2LZ
FI06,2M0
MM01,2ME
MM03,2NV
MM03,2NX
MM03,2NY
FI08,2O0
FI05,2OH
DB01,2OQ
FI06,2PD
DB01,2Q2
PP04,2QI
FI04,2QL
PP05,2QN
PP05,2QP
SD01,2QS
MM04,2QU
PP01,2QW
FI01,2QY
FI02,2SA
FI07,2SA
SD01,2TT
SC02,2TX
MM02,2TX
MM03,2TX
FI05,2U1
FI05,2U2
FI05,2U3
FI02,2U6
PP01,2UG
PP04,2UG
PP05,2V0
FI01,2V7
FI01,2VB
RD03,2WK
MM01,2XT
MM03,2XU
RD02,2XU
MM02,2XX
DB01,2YC
RD03,2YC
SD01,2YJ
FI04,2ZS
FI04,30K
AP01,30K
RD01,31G
RD01,31H
SD01,31J
RD01,31J
PP04,31L
AP01,31N
SD01,31Q
FI01,33M
FI01,33Q
FI04,33Q
FI04,34B
FI08,34P
RD02,35Q
FI02,3AF
RD01,3FC
MM06,3FY
SD01,3G8
RD01,3G8
FI02,3JP
FI05,3JX
FI05,3KX
FI05,3KY
FI08,3L5
PP01,3L7
PP03,3LO
PP03,3LP
PP04,3LQ
FI02,3LX
RD02,3ND
PP01,3OK
SD01,3TE
PP01,3UK
PP01,3UL
SD01,3VQ
RD01,3VQ
RD01,3VR
MM05,3ZF
FI01,40Y
MM03,41F
MM03,42K
PP01,42N
CS01,43B
MM05,4AZ
MM01,4B0
PP02,4B3
PP02,4B4
PP04,4B5
PM01,4HH
PM01,4HI
SD01,4IH
DB01,4LO
SC02,4LO
SC02,4LU
SC03,4MM
FI08,4MT
MM02,4N6
PP01,4OC
FI01,4RC
FI04,4RC
FI02,4VB
FI06,4X8
FI08,4X8
SD01,5D2
MM02,5I2
PP02,5I2
MM03,5I2
MM03,5JT
FI02,5XU
SC04,6LJ
SD01,BD3
FI03,BD6
SD01,BD9
SD01,BDA
SD01,BDD
SD01,BDG
SD01,BDK
SD01,BDN
SD01,BDQ
SD01,BDW
FI04,BEG
FI01,BEI
FI01,BEJ
FI04,BEV
FI01,BF7
FI08,BFA
FI08,BFB
FI03,BFC
FI01,BFH
FI01,BGC
SC05,BGG
PM01,BH1
PM01,BH2
PM01,BJ2
PP01,BJ5
PP04,BJ5
PP01,BJ8
PP04,BJ8
PP01,BJE
PP04,BJE
PP02,BJH
PP04,BJH
PP01,BJK
PP02,BJK
PP01,BJN
PP01,BJQ
SD01,BKA
SD01,BKJ
SD01,BKK
SD01,BKL
SD01,BKN
SD01,BKP
SD01,BKZ
MM03,BLF
MM03,BLL
SC02,BMC
MM05,BMD
SC02,BMK
SC02,BML
MM03,BMR
SC02,BMY
MM02,BMY
PP02,BMY
SC02,BNX
MM02,BNX
MM03,BNX
SD01,I9I
PP04,J44
SC02,J45
MM02,J45
MM03,J45
FI04,J54
FI04,J55
FI01,J58
FI06,J59
FI06,J60
FI01,J62
FI08,J77
FI08,J78
SC02,J82
MM02,J82
MM03,J82
MM06,SL4
