code,name
SAP_BR_AA_ACCOUNTANT,Asset Accountant
SAP_BR_AA_ACCOUNTANT_BG,Asset Accountant for Bulgaria
SAP_BR_AA_ACCOUNTANT_JP,Asset Accountant for Japan
SAP_BR_AA_ACCOUNTANT_KR,Asset Accountant for South Korea
SAP_BR_AA_ACCOUNTANT_RO,Asset Accountant for Romania
SAP_BR_AA_ACCOUNTANT_RU,Asset Accountant for Russian Federation
SAP_BR_ADMINISTRATOR,Administrator
SAP_BR_ADMINISTRATOR_DATA_REPL,Administrator - Data Replication
SAP_BR_ADMINISTRATOR_GRP,Administrator - Group Reporting
SAP_BR_ADMINISTRATOR_LCM,Administrator - Enterprise Contract Management
SAP_BR_ADMINISTRATOR_MKT,Administrator - Marketing
SAP_BR_ADMINISTRATOR_RCP_DEV,Administrator - Recipe Development
SAP_BR_ADMINISTRATOR_RFM,Administrator (Retail)
SAP_BR_ADMINISTRATOR_SLL,Administrator - International Trade
SAP_BR_ADMIN_APR_FICA,Administrator - Accounts Payable and Receivable (FI-CA)
SAP_BR_ADMIN_APR_FICA_US,Administrator - Accounts Payable and Receivable (FI-CA) for USA
SAP_BR_ADMIN_SUS_PFM,Administrator - Product Footprint Management
SAP_BR_ALLOCATOR_RETAIL,Allocator (Retail)
SAP_BR_ANALYTICS_SPECIALIST,Analytics Specialist
SAP_BR_APR_ACCOUNTANT_FICA,Accounts Payable and Receivable Accountant (FI-CA)
SAP_BR_APR_MANAGER_FICA,Accounts Payable and Receivable Manager (FI-CA)
SAP_BR_AP_ACCOUNTANT,Accounts Payable Accountant
SAP_BR_AP_ACCOUNTANT_BR,Accounts Payable Accountant for Brazil
SAP_BR_AP_ACCOUNTANT_CL,Accounts Payable Accountant for Chile
SAP_BR_AP_ACCOUNTANT_CN,Accounts Payable Accountant for China
SAP_BR_AP_ACCOUNTANT_ES,Accounts Payable Accountant for Spain
SAP_BR_AP_ACCOUNTANT_HU,Accounts Payable Accountant for Hungary
SAP_BR_AP_ACCOUNTANT_ID,Accounts Payable Accountant for Indonesia
SAP_BR_AP_ACCOUNTANT_IN,Accounts Payable Accountant for India
SAP_BR_AP_ACCOUNTANT_JP,Accounts Payable Accountant for Japan
SAP_BR_AP_ACCOUNTANT_MX,Accounts Payable Accountant for Mexico
SAP_BR_AP_ACCOUNTANT_NL,Accounts Payable Accountant for Netherlands
SAP_BR_AP_ACCOUNTANT_PL,Accounts Payable Accountant for Poland
SAP_BR_AP_ACCOUNTANT_PROCMT_CN,Accounts Payable Accountant - Procurement for China
SAP_BR_AP_ACCOUNTANT_RU,Accounts Payable Accountant for Russian Federation
SAP_BR_AP_ACCOUNTANT_SA,Accounts Payable Accountant for Saudi Arabia
SAP_BR_AP_ACCOUNTANT_TH,Accounts Payable Accountant for Thailand
SAP_BR_AP_MANAGER,Accounts Payable Manager
SAP_BR_AP_MANAGER_AU,Accounts Payable Manager for Australia
SAP_BR_AP_MANAGER_BE,Accounts Payable Manager for Belgium
SAP_BR_AP_MANAGER_ES,Accounts Payable Manager for Spain
SAP_BR_AP_MANAGER_FR,Accounts Payable Manager for France
