sItem_code,country_code
1NN,BR
1NJ,BR
BH1,BR
BH2,BR
BJ2,BR
2Q2,BR
1FD,BR
2YC,BR
1I9,BR
J58,BR
1GA,BR
2FD,BR
J62,BR
1GB,BR
BFH,BR
1GF,BR
1GO,BR
1J2,BR
1GI,BR
BEJ,BR
1ZT,BR
BF7,BR
BEI,BR
2VB,BR
2QY,BR
BGC,BR
5XU,BR
3AF,BR
2U6,BR
287,BR
1SG,BR
28B,BR
1QM,BR
BD6,BR
1HB,BR
BEV,BR
J55,BR
J54,BR
2I3,BR
BEG,BR
2QL,BR
2OH,BR
1WC,BR
2U2,BR
1W8,BR
J60,BR
J59,BR
1MV,BR
2UV,BR
2UT,BR
1S0,BR
2UW,BR
1S2,BR
2RP,BR
2M0,BR
2LZ,BR
43D,BR
1J5,BR
2PD,BR
2JB,BR
J77,BR
J78,BR
2O0,BR
1EG,BR
16R,BR
BFA,BR
BFB,BR
1LQ,BR
2QW,BR
BJE,BR
1BM,BR
1YT,BR
2UG,BR
BJ5,BR
21D,BR
1Y5,BR
2JN,BR
BJN,BR
BJQ,BR
BJH,BR
1E3,BR
2QI,BR
J44,BR
2QN,BR
2F9,BR
2FA,BR
1E1,BR
1FM,BR
1MP,BR
1MR,BR
2QP,BR
2V0,BR
1R3,BR
1R5,BR
1NR,BR
22P,BR
22T,BR
22R,BR
1ZI,BR
1QC,BR
2WK,BR
1QG,BR
1QA,BR
2QS,BR
1EZ,BR
1IU,BR
1F1,BR
1MI,BR
BKA,BR
BDA,BR
BDD,BR
BKN,BR
1O0,BR
2YJ,BR
BDW,BR
2EQ,BR
I9I,BR
1IQ,BR
BDN,BR
BKK,BR
2ET,BR
BKZ,BR
BD3,BR
BDG,BR
1B6,BR
1BS,BR
BD9,BR
2ME,BR
J82,BR
BNX,BR
22K,BR
J45,BR
22Z,BR
18J,BR
2UU,BR
2LG,BR
BLF,BR
1QR,BR
2NX,BR
BMR,BR
BLL,BR
2QU,BR
BMD,BR
1XF,BR
1XV,BR
19C,BR
19E,BR
SL4,BR
1JW,BR
BMC,BR
BML,BR
BMK,BR
6LJ,BR
BGG,BR
1NN,MX
30K,MX
1NJ,MX
31N,MX
BH1,MX
BH2,MX
BJ2,MX
4HI,MX
4HH,MX
2Q2,MX
1FD,MX
4LO,MX
2OQ,MX
2YC,MX
1I9,MX
J58,MX
1GA,MX
2FD,MX
33Q,MX
J62,MX
1GB,MX
BFH,MX
1GF,MX
1GO,MX
1J2,MX
1K2,MX
33M,MX
2FM,MX
1GI,MX
4RC,MX
40Y,MX
BEJ,MX
1ZT,MX
2V7,MX
BF7,MX
BEI,MX
2VB,MX
2QY,MX
BGC,MX
5XU,MX
3AF,MX
4VB,MX
2U6,MX
287,MX
1SG,MX
3LX,MX
28B,MX
3JP,MX
21P,MX
21Q,MX
2SA,MX
21R,MX
1QM,MX
BD6,MX
BFC,MX
1HB,MX
BEV,MX
2ZS,MX
J55,MX
J54,MX
2I3,MX
BEG,MX
34B,MX
2QL,MX
2U3,MX
24J,MX
2OH,MX
2U1,MX
1WC,MX
3KY,MX
2U2,MX
1W8,MX
3JX,MX
3KX,MX
1WE,MX
24H,MX
24F,MX
1WA,MX
J60,MX
J59,MX
4X8,MX
1MV,MX
1S0,MX
1S2,MX
2M0,MX
2LZ,MX
2PD,MX
2JB,MX
J77,MX
J78,MX
4MT,MX
2O0,MX
1EG,MX
16R,MX
BFA,MX
BFB,MX
3L5,MX
1MN,MX
34P,MX
1LQ,MX
2QW,MX
3UK,MX
BJE,MX
3OK,MX
1BM,MX
4OC,MX
1YT,MX
BJ8,MX
2UG,MX
BJ5,MX
21D,MX
3L7,MX
3UL,MX
20N,MX
1Y5,MX
2JN,MX
BJK,MX
BJN,MX
BJQ,MX
42N,MX
2EM,MX
BJH,MX
1E3,MX
4B3,MX
4B4,MX
BMY,MX
5I2,MX
3LO,MX
3LP,MX
1Y2,MX
2QI,MX
J44,MX
4B5,MX
31L,MX
3LQ,MX
2QN,MX
2F9,MX
2FA,MX
1E1,MX
1FM,MX
1MP,MX
1MR,MX
2QP,MX
2V0,MX
3FC,MX
31H,MX
31G,MX
31J,MX
3G8,MX
3VR,MX
3VQ,MX
1R3,MX
1R5,MX
1NR,MX
22P,MX
2XU,MX
3ND,MX
35Q,MX
22T,MX
22R,MX
1ZI,MX
2G6,MX
1QC,MX
2WK,MX
1QG,MX
2G4,MX
2G5,MX
1QA,MX
5D2,MX
2QS,MX
1EZ,MX
1IU,MX
BKP,MX
3TE,MX
1Z3,MX
1F1,MX
4IH,MX
1MI,MX
1Z1,MX
BKA,MX
BDA,MX
BKL,MX
BDQ,MX
BDD,MX
BKN,MX
1O0,MX
2YJ,MX
BDW,MX
2EQ,MX
2TT,MX
I9I,MX
1IQ,MX
BDN,MX
BKK,MX
2ET,MX
31Q,MX
BKJ,MX
BKZ,MX
BD3,MX
BDK,MX
BDG,MX
1B6,MX
1BS,MX
BD9,MX
43B,MX
2ME,MX
2XT,MX
1XI,MX
4B0,MX
J82,MX
BNX,MX
2TX,MX
22K,MX
J45,MX
22Z,MX
2XX,MX
18J,MX
4N6,MX
2LG,MX
5JT,MX
42K,MX
BLF,MX
2NV,MX
1QR,MX
41F,MX
2NY,MX
2NX,MX
BMR,MX
BLL,MX
2QU,MX
1JI,MX
3ZF,MX
4AZ,MX
BMD,MX
1XF,MX
1XV,MX
19C,MX
3FY,MX
19E,MX
SL4,MX
1JW,MX
BMC,MX
4LU,MX
BML,MX
BMK,MX
4MM,MX
6LJ,MX
BGG,MX
1G0,MX
1NN,US
30K,US
1NJ,US
31N,US
BH1,US
BH2,US
43R,US
BJ2,US
4HI,US
4HH,US
2Q2,US
1FD,US
4LO,US
2OQ,US
2YC,US
1I9,US
J58,US
1GA,US
2FD,US
33Q,US
J62,US
1GB,US
6DS,US
6DR,US
BFH,US
1GF,US
6DU,US
6DT,US
1GO,US
1J2,US
6AK,US
6AL,US
1K2,US
33M,US
2FM,US
1GI,US
4RC,US
4LG,US
40Y,US
BEJ,US
1ZT,US
2V7,US
4PG,US
BF7,US
BEI,US
2VB,US
5VW,US
2QY,US
BGC,US
63L,US
6DF,US
5XU,US
3AF,US
5PU,US
4VB,US
2U6,US
287,US
1SG,US
3LX,US
28B,US
3JP,US
3F7,US
1T6,US
21P,US
6EC,US
6EB,US
21Q,US
2SB,US
2SA,US
6EE,US
6ED,US
3F4,US
21R,US
1QM,US
BD6,US
BFC,US
2DP,US
3L3,US
2BI,US
2BK,US
2SJ,US
33X,US
43Y,US
2AR,US
2UJ,US
2KH,US
3F0,US
1HB,US
5W2,US
BEV,US
2ZS,US
J55,US
J54,US
4Q0,US
2I3,US
BEG,US
34B,US
2QL,US
2U3,US
24J,US
2OH,US
2U1,US
1WC,US
3KY,US
2U2,US
1W8,US
3JX,US
3KX,US
1WE,US
24H,US
24F,US
1WA,US
5IM,US
J60,US
J59,US
4X8,US
1MV,US
1S0,US
1S2,US
19M,US
2M0,US
2LZ,US
1JT,US
2PD,US
55I,US
2JB,US
4AV,US
5VX,US
5YU,US
6EG,US
6EF,US
5VY,US
5YV,US
5W0,US
5YW,US
5VZ,US
2BE,US
2BG,US
3DX,US
2T3,US
42L,US
2KF,US
5IK,US
J77,US
J78,US
4MT,US
2O0,US
2NZ,US
2O2,US
1EG,US
16R,US
BFA,US
BFB,US
3WY,US
3WZ,US
1WV,US
1X7,US
1X1,US
1X9,US
1XD,US
3X1,US
2RW,US
3X2,US
2UF,US
2OI,US
2HU,US
2F2,US
1YI,US
1X3,US
1XB,US
49D,US
49E,US
3L5,US
1XN,US
2UN,US
2UO,US
1MN,US
5WF,US
5WG,US
5OD,US
5OE,US
34P,US
1LQ,US
2QW,US
4R8,US
3UK,US
BJE,US
3OK,US
1BM,US
4OC,US
1YT,US
BJ8,US
2UG,US
BJ5,US
21D,US
3L7,US
3UL,US
20N,US
1Y5,US
2JN,US
BJK,US
BJN,US
BJQ,US
42N,US
2EM,US
53X,US
BJH,US
1E3,US
4B3,US
4B4,US
BMY,US
5I2,US
3LO,US
3LP,US
1Y2,US
2QI,US
J44,US
65D,US
4B5,US
31L,US
3LQ,US
2QN,US
2F9,US
2FA,US
1E1,US
1FM,US
1MP,US
1MR,US
2QP,US
2V0,US
3FC,US
31H,US
31G,US
31J,US
3G8,US
3VR,US
3VQ,US
4OL,US
5OJ,US
1R3,US
1R5,US
1NR,US
22P,US
2XU,US
3ND,US
35Q,US
22T,US
64F,US
22R,US
1ZI,US
2G6,US
1QC,US
2WK,US
5QC,US
64E,US
1QG,US
2G4,US
2G5,US
1QA,US
5D2,US
2QS,US
4A1,US
2TY,US
6JM,US
4X9,US
1EZ,US
1IU,US
BKP,US
3TE,US
5CX,US
1Z3,US
1F1,US
4IH,US
1MI,US
1Z1,US
1Z6,US
BKA,US
BDA,US
2EL,US
BKL,US
BDQ,US
BDD,US
1MC,US
BKN,US
1O0,US
2YJ,US
BDW,US
2EQ,US
2TT,US
I9I,US
1IQ,US
BDN,US
BDH,US
BKK,US
2ET,US
31Q,US
BKJ,US
BKZ,US
BD3,US
4R6,US
BDK,US
BDG,US
1B6,US
4LZ,US
3NR,US
1BS,US
4H2,US
BD9,US
5MQ,US
4Q5,US
57Z,US
41V,US
6AU,US
6F1,US
426,US
43B,US
63Y,US
5HR,US
3XK,US
41W,US
4X5,US
41Z,US
5ON,US
40G,US
6BA,US
5OM,US
4AH,US
4QN,US
2ME,US
2XT,US
1XI,US
4B0,US
4RD,US
J82,US
2TW,US
BNX,US
2TX,US
22K,US
J45,US
