code,name,descr,cluster,component_code,ver_code
1E1,Quality Management in Discrete Manufacturing,Quality Management in Discrete Manufacturing,2,QM-CNT,2022_09
1E3,Material Replenishment with Kanban - External Proc,Material Replenishment with Kanban - External Procurement,2,PP-CNT,2022_09
16R,Bank Integration with SAP Multi-Bank Connectivity,Bank Integration with SAP Multi-Bank Connectivity,2,LOD-FSN-AGT-CNT,2022_09
18J,Requisitioning,Requisitioning,2,MM-PUR-CNT,2022_09
19C,Activity Management in Procurement,Activity Management in Procurement,1,MM-PUR-CNT,2022_09
19E,Supplier Classification and Segmentation,Supplier Classification and Segmentation,1,MM-PUR-CNT,2022_09
1B6,Sales Rebate Processing,Sales Rebate Processing,1,SD-SLS-CNT,2022_09
1BM,Make-to-Order Production - Semifinished Goods Plan,Make-to-Order Production - Semifinished Goods Planning and Assembly,2,PP-CNT,2022_09
1BS,SAP Fiori Analytical Apps for Sales,SAP Fiori Analytical Apps for Sales,3,CA-GTF-ANA-CNT-EMB,2022_09
1EG,Bank Integration with File Interface,Bank Integration with File Interface,2,FIN-FSCM-CLM-CNT,2022_09
1EZ,Credit Memo Processing,Credit Memo Processing,1,SD-SLS-CNT,2022_09
1F1,Debit Memo Processing,Debit Memo Processing,2,SD-SLS-CNT,2022_09
1FD,Employee Integration - SAP S/4HANA Enablement,Employee Integration - SAP S/4HANA Enablement,2,CA-GTF-HCM-CNT,2022_09
1FM,Quality Management in Procurement,Quality Management in Procurement,2,QM-CNT,2022_09
1G0,Scrapping in Warehouse,Scrapping in Warehouse,2,SCM-EWM-CNT,2022_09
1GA,Accounting and Financial Close - Group Ledger IFRS,Accounting and Financial Close - Group Ledger IFRS,2,FI-CNT-GL,2022_09
1GB,Asset Accounting - Group Ledger IFRS,Asset Accounting - Group Ledger IFRS,2,FI-CNT-AA,2022_09
1GF,Asset Under Construction - Group Ledger IFRS,Asset Under Construction - Group Ledger IFRS,2,FI-CNT-AA,2022_09
1GI,General Ledger Allocation Cycle,General Ledger Allocation Cycle,1,FI-CNT-GL,2022_09
1GO,Cash Journal,Cash Journal,1,FI-CNT-GL,2022_09
1HB,Financial Plan Data Upload from File,Financial Plan Data Upload from File,1,FI-CNT-CO,2022_09
1I9,Master Data Catalog for SAP S/4HANA - On-premise,Master Data Catalog for SAP S/4HANA - On-premise,1,SV-CLD-ACT,2022_09
1IQ,Sales Inquiry,Sales Inquiry,1,SD-SLS-CNT,2022_09
1IU,Customer Consignment,Customer Consignment,2,SD-SLS-CNT,2022_09
1J2,Compliance Formats - Support Preparation,Compliance Formats - Support Preparation,1,FI-LOC-SRF-RUN,2022_09
1JI,Real-Time Reporting and Monitoring for Procurement,Real-Time Reporting and Monitoring for Procurement,2,CA-GTF-ANA-CNT-EMB,2022_09
1JW,Advanced Available-to-Promise Processing,Advanced Available-to-Promise Processing,2,CA-ATP-CNT,2022_09
1K2,Event-Based Revenue Recognition - Sell from Stock,Event-Based Revenue Recognition - Sell from Stock,2,FI-CNT-CO,2022_09
1LQ,Output Management,Output Management,1,CA-GTF-FND,2022_09
1MI,Delivery Processing without Order Reference,Delivery Processing without Order Reference,2,LE-SHP-CNT,2022_09
1MN,SAP Fiori Analytical Apps for Treasury and Risk Ma,SAP Fiori Analytical Apps for Treasury and Risk Management,3,CA-GTF-ANA-CNT-EMB,2022_09
