sItem_code,seq,id,descr,fApp_code,tCode_code,semanticObject,semanticAction,bRole_code,,
16R,001,16R.001,Monitor Situations,F3264,,SituationInstance,monitor,SAP_BR_ADMINISTRATOR_LCM,,
16R,002,16R.002,Monitor Situations(Manage Bank Messages),F4385,,BankMessage,manage,SAP_BR_BANK_INT_SPECIALIST,,
16R,003,16R.003,Pull Status Message from MBC (Optional)(Manage Banks),F1574,,HouseBank,manage,SAP_BR_CASH_MANAGER,,
16R,004,16R.004,ISO CAMT.054 Format(Manage Banks),F1574,,HouseBank,manage,SAP_BR_CASH_MANAGER,,
16R,005,16R.005,ISO CAMT.053 Format(Manage Bank Statements),F1564,,BankStatement,manage,SAP_BR_ADMIN_APR_FICA,,
16R,006,16R.006,Import Electronic Bank Statement(Check Cash Flow Items),F0735,,BankAccount,analyzePaymentDetails,SAP_BR_CASH_MANAGER,,
16R,007,16R.007,Monitor Situations,F3264,,SituationInstance,monitor,SAP_BR_ADMINISTRATOR_LCM,,
16R,008,16R.008,Monitor Situations(Manage Bank Messages),F4385,,BankMessage,manage,SAP_BR_BANK_INT_SPECIALIST,,
18J,001,18J.001,Create Purchase Requisition with Cost Center(Create Purchase Requisition),F1643,,PurchaseRequisition,manageAdvanced,SAP_BR_EMPLOYEE_PROCUREMENT,,
18J,002,18J.002,Create Purchase Requisition with Enhanced Limit item(Create Purchase Requisition),F1643,,PurchaseRequisition,manageAdvanced,SAP_BR_EMPLOYEE_PROCUREMENT,,
18J,003,18J.003,Manage Catalog Items,F3149,,ProcurementCatalog,manageItems,SAP_BR_BPC_EXPERT,,
18J,004,18J.004,Create Purchase Requisition with Catalog(Create Purchase Requisition),F1643,,PurchaseRequisition,manageAdvanced,SAP_BR_EMPLOYEE_PROCUREMENT,,
18J,005,18J.005,Check Purchase Requisition (Optional)(My Purchase Requisitions),F1639,,PurchaseRequisition,manageLineItems,SAP_BR_EMPLOYEE_PROCUREMENT,,
18J,006,18J.006,Check Purchase Requisition (Optional)(Create Purchase Requisition),F1643,,PurchaseRequisition,manageAdvanced,SAP_BR_EMPLOYEE_PROCUREMENT,,
18J,007,18J.007,Copy Purchase Requisition (Optional)(My Purchase Requisitions),F1639,,PurchaseRequisition,manageLineItems,SAP_BR_EMPLOYEE_PROCUREMENT,,
18J,008,18J.008,Mass Changes to Purchase Requisitions (Optional)(Mass Changes to Purchase Requisitions),F2594,,PurchaseRequisition,changeMultiple,SAP_BR_PURCHASER,,
18J,009,18J.009,Monitor Purchase Requisition Items by Account Assignment (Optional)(Purchase Requisition Items by Account Assignment),F2422,,PurchaseRequisitionItem,monitorByAccountAssignment,SAP_BR_AP_ACCOUNTANT,,
18J,010,18J.010,Approve Purchase Requisition(My Inbox),F0862,,WorkflowTask,displayInbox,SAP_BR_ADMINISTRATOR_LCM,,
18J,011,18J.011,Approve Purchase Requisition(My Inbox - All Items),F5331,,LegalTask,displayInbox,SAP_BR_ADMINISTRATOR_LCM,,
18J,012,18J.012,Change Purchase Requisition(Manage Purchase Requisitions),F2229,,PurchaseRequisition,maintain,SAP_BR_ADMINISTRATOR_SLL,,
18J,013,18J.013,Change Purchase Requisition(Manage Purchase Requisitions - Professional),F2229,,PurchaseRequisition,maintain,SAP_BR_ADMINISTRATOR_SLL,,
18J,014,18J.014,Monitor Purchase Requisition Items (Optional)(Monitor Purchase Requisition Items),F2424,,PurchaseRequisitionItem,monitor,SAP_BR_PURCHASER,,
18J,015,18J.015,Redistribute Workload (Optional)(Redistribute Workload),F2504,,PurchasingDocument,distributeWorkload,SAP_BR_PURCHASER,,
18J,016,18J.016,Redistribute Workload (Optional)(Change Log),F3810,,ProfitCenter,changeLog,SAP_BR_DIVISION_ACCOUNTANT,,
18J,017,18J.017,Convert Purchase Requisition to Purchase Order(Process Purchase Requisitions),F1048,,PurchaseRequisitionNoSource,manage,SAP_BR_PURCHASER,,
18J,018,18J.018,Convert Purchase Requisition to Purchase Order(Process Purchase Requisitions - Formerly Manage Purchase Requisitions),F1048,,PurchaseRequisitionNoSource,manage,SAP_BR_PURCHASER,,
18J,019,18J.019,Approve Purchase Order(My Inbox - All Items),F5331,,LegalTask,displayInbox,SAP_BR_ADMINISTRATOR_LCM,,
18J,020,18J.020,Change Purchase Order(Manage Purchase Orders),F0842A,,PurchaseOrder,manage,SAP_BR_ADMINISTRATOR_SLL,,
18J,021,18J.021,Confirm Receipt of Goods(Confirm Receipt of Goods - New),F4489,,GoodsReceipt,confirm,SAP_BR_EMPLOYEE_PROCUREMENT,,
